date,price,,,,,
4/9/18,3837.67,,,,,
4/10/18,4001.23,,,,,
4/11/18,4249.36,,,,,
4/12/18,4774.55,,,,,
4/13/18,5262.69,,,,,
4/16/18,5305.87,,,,,
4/17/18,5419.56,,,,,
4/18/18,5827.07,,,,,
4/19/18,6140.38,,,,,
4/20/18,6649.35,,,,,
4/23/18,6846.71,,,,,
4/24/18,7847.5,,,,,
4/25/18,7081.91,,,,,
4/26/18,7220.75,,,,,
4/27/18,7681.4,,,,,
4/30/18,8262.79,,,,,
5/1/18,7902.94,,,,,
5/2/18,8314.74,,,,,
5/3/18,8621.37,,,,,
5/4/18,8362.31,,,,,
5/7/18,8073.61,,,,,
5/8/18,8134.01,,,,,
5/9/18,8091.78,,,,,
5/10/18,7737.71,,,,,
5/11/18,6861.88,,,,,
5/14/18,7163.86,,,,,
5/15/18,6788.59,,,,,
5/16/18,6455.26,,,,,
5/17/18,6371.14,,,,,
5/18/18,6451.22,,,,,
5/21/18,6525.39,,,,,
5/22/18,6297.65,,,,,
5/23/18,5536.88,,,,,
5/24/18,5795.38,,,,,
5/25/18,5627.78,,,,,
5/28/18,5240.44,,,,,
5/29/18,5573.66,,,,,
5/30/18,5351.16,,,,,
5/31/18,5704.76,,,,,
6/1/18,5609.67,,,,,
6/4/18,5752.27,,,,,
6/5/18,5904.74,,,,,
6/6/18,5736.25,,,,,
6/7/18,5918.62,,,,,
6/8/18,5819.68,,,,,
6/11/18,4705.97,,,,,
6/12/18,4474.04,,,,,
6/13/18,4245.79,,,,,
6/14/18,4695.3,,,,,
6/15/18,4555.44,,,,,
6/18/18,4619.85,,,,,
6/19/18,4667.27,,,,,
6/20/18,4639.08,,,,,
6/21/18,4604.05,,,,,
6/22/18,4142.92,,,,,
6/25/18,3988.72,,,,,
6/26/18,3828.27,,,,,
6/27/18,3814.3,,,,,
6/28/18,3770.49,,,,,
6/29/18,3573.4,,,,,
7/2/18,4255.28,,,,,
7/3/18,4199,,,,,
7/4/18,4266.99,,,,,
7/5/18,4098.21,,,,,
7/6/18,4158.71,,,,,
7/9/18,4158.68,,,,,
7/10/18,3877.74,,,,,
7/11/18,3812.54,,,,,
7/12/18,3721.95,,,,,
7/13/18,3761.71,,,,,
7/16/18,4163.6,,,,,
7/17/18,4462.49,,,,,
7/18/18,4582.83,,,,,
7/19/18,4474.85,,,,,
7/20/18,4110.97,,,,,
7/23/18,4180.56,,,,,
7/24/18,4326.59,,,,,
7/25/18,4390.51,,,,,
7/26/18,4470.16,,,,,
7/27/18,4376.8,,,,,
7/30/18,4159.75,,,,,
7/31/18,3952.07,,,,,
8/1/18,3828.76,,,,,
8/2/18,3668,,,,,
8/3/18,3623.18,,,,,
8/6/18,3535.01,,,,,
8/7/18,3531.51,,,,,
8/8/18,3056.62,,,,,
8/9/18,3148.19,,,,,
8/10/18,3121.58,,,,,
8/13/18,2723.91,,,,,
